LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,WS2M_MIN,WS2M_MAX
30.5,27.5,2022,12,10.23,9.74,16.0,4.98,0.01,69.98,3.38,1.92,6.54
30.5,32.5,2022,12,12.87,13.0,19.3,7.97,0.0,41.37,2.77,1.25,4.92
31.5,27.5,2022,12,10.68,15.12,17.07,13.15,0.36,73.26,7.47,6.6,8.68
31.5,32.5,2022,12,10.18,16.38,17.98,14.1,0.0,63.43,6.29,4.56,7.26
23.5,27.5,2022,13,17.4,12.72,20.17,8.25,0.0,37.44,3.73,2.17,5.02
23.5,32.5,2022,13,12.94,16.83,23.99,11.43,0.0,22.05,3.84,2.22,5.43
24.5,27.5,2022,13,15.9,11.18,18.25,6.61,0.0,48.3,3.29,2.15,4.55
24.5,32.5,2022,13,12.84,14.66,22.79,9.84,0.0,24.85,3.35,2.11,4.58
25.5,27.5,2022,13,16.0,11.01,18.04,6.15,0.0,53.51,2.88,1.41,5.4
25.5,32.5,2022,13,11.96,12.85,21.65,7.77,0.0,32.5,2.64,1.49,4.01
26.5,27.5,2022,13,15.88,11.06,17.67,6.0,0.02,55.42,2.87,1.22,5.71
26.5,32.5,2022,13,13.02,12.99,22.02,7.35,0.0,33.79,3.0,1.65,5.1
27.5,27.5,2022,13,15.84,10.34,16.9,5.01,0.02,62.7,2.97,1.19,6.02
27.5,32.5,2022,13,14.32,11.05,18.81,5.66,0.0,42.97,3.45,1.57,6.04
28.5,27.5,2022,13,14.78,10.98,16.03,6.09,0.29,68.15,3.1,1.59,5.9
28.5,32.5,2022,13,14.63,10.69,17.53,6.65,0.0,50.51,3.65,1.87,6.4
29.5,27.5,2022,13,13.32,11.28,17.15,6.3,4.36,77.1,2.7,1.66,4.93
29.5,32.5,2022,13,14.34,14.15,18.67,11.33,0.13,56.36,3.47,1.68,5.44
30.5,27.5,2022,13,10.73,10.12,14.67,6.27,8.75,84.63,3.34,1.95,5.45
30.5,32.5,2022,13,13.63,13.1,19.14,8.64,0.83,60.87,3.35,1.6,5.67
31.5,27.5,2022,13,5.56,15.03,15.71,13.85,22.43,75.28,6.73,5.82,7.4
31.5,32.5,2022,13,11.93,16.27,16.94,15.26,4.89,73.05,7.13,6.37,8.43
23.5,27.5,2022,14,17.83,10.54,17.7,5.08,0.0,58.06,3.55,1.94,5.27
23.5,32.5,2022,14,17.66,14.67,21.41,9.55,0.0,44.2,4.28,2.32,6.33
24.5,27.5,2022,14,17.36,9.48,16.29,4.02,0.0,68.33,3.25,2.13,4.7
24.5,32.5,2022,14,17.47,12.51,19.74,7.23,0.0,51.79,3.94,2.24,5.78
25.5,27.5,2022,14,17.16,9.53,16.26,4.11,0.01,73.32,2.84,1.86,4.54
25.5,32.5,2022,14,17.14,11.55,19.23,5.7,0.0,57.64,3.47,2.07,5.25
26.5,27.5,2022,14,16.58,9.78,16.6,4.64,0.02,74.98,2.66,1.62,4.51
26.5,32.5,2022,14,16.8,10.79,18.45,5.79,0.0,62.76,3.36,1.84,5.28
27.5,27.5,2022,14,16.02,9.54,15.71,5.57,0.38,76.68,2.66,1.64,4.72
27.5,32.5,2022,14,16.82,9.25,15.83,4.83,0.06,69.22,3.92,2.18,5.89
28.5,27.5,2022,14,16.06,9.67,14.97,5.84,1.74,75.94,2.6,1.61,4.57
28.5,32.5,2022,14,13.24,9.14,14.83,4.79,0.18,71.1,3.64,2.29,5.2
29.5,27.5,2022,14,14.87,10.16,16.22,5.49,0.41,73.29,2.72,1.67,4.84
29.5,32.5,2022,14,10.98,12.45,16.08,9.24,0.35,71.04,4.08,3.4,4.94
30.5,27.5,2022,14,10.47,9.26,13.56,5.89,0.33,73.52,3.8,2.71,5.56
30.5,32.5,2022,14,10.65,11.45,16.75,7.61,0.46,70.78,3.6,2.14,5.51
