-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
25.5,29.5,2024,5,16.62
25.5,30.5,2024,5,16.56
25.5,31.5,2024,5,16.43
25.5,32.5,2024,5,16.11
25.5,33.5,2024,5,15.97
26.5,26.5,2024,5,16.0
26.5,27.5,2024,5,15.93
26.5,28.5,2024,5,16.17
26.5,29.5,2024,5,16.01
26.5,30.5,2024,5,16.09
26.5,31.5,2024,5,15.83
26.5,32.5,2024,5,15.71
26.5,33.5,2024,5,15.49
27.5,26.5,2024,5,15.26
27.5,27.5,2024,5,15.34
27.5,28.5,2024,5,15.34
27.5,29.5,2024,5,15.05
27.5,30.5,2024,5,15.43
27.5,31.5,2024,5,15.57
27.5,32.5,2024,5,15.75
27.5,33.5,2024,5,15.28
28.5,26.5,2024,5,14.3
28.5,27.5,2024,5,14.59
28.5,28.5,2024,5,14.56
28.5,29.5,2024,5,14.9
28.5,30.5,2024,5,14.73
28.5,31.5,2024,5,15.09
28.5,32.5,2024,5,15.03
28.5,33.5,2024,5,15.11
29.5,26.5,2024,5,12.76
29.5,27.5,2024,5,13.34
29.5,28.5,2024,5,13.32
29.5,29.5,2024,5,14.11
29.5,30.5,2024,5,13.95
29.5,31.5,2024,5,14.22
29.5,32.5,2024,5,14.27
29.5,33.5,2024,5,14.88
30.5,26.5,2024,5,12.45
30.5,27.5,2024,5,12.77
30.5,28.5,2024,5,12.17
30.5,29.5,2024,5,12.97
30.5,30.5,2024,5,13.22
30.5,31.5,2024,5,13.44
30.5,32.5,2024,5,13.39
30.5,33.5,2024,5,13.78
31.5,26.5,2024,5,11.36
31.5,27.5,2024,5,10.72
31.5,28.5,2024,5,9.49
31.5,29.5,2024,5,9.18
31.5,30.5,2024,5,9.41
31.5,31.5,2024,5,11.0
31.5,32.5,2024,5,11.71
31.5,33.5,2024,5,11.89
23.5,26.5,2024,6,17.78
23.5,27.5,2024,6,17.59
23.5,28.5,2024,6,17.21
23.5,29.5,2024,6,17.2
23.5,30.5,2024,6,17.49
23.5,31.5,2024,6,17.57
23.5,32.5,2024,6,17.48
23.5,33.5,2024,6,17.43
24.5,26.5,2024,6,16.95
24.5,27.5,2024,6,17.03
24.5,28.5,2024,6,16.98
24.5,29.5,2024,6,17.13
24.5,30.5,2024,6,17.05
24.5,31.5,2024,6,17.23
24.5,32.5,2024,6,17.0
24.5,33.5,2024,6,16.93
25.5,26.5,2024,6,16.2
25.5,27.5,2024,6,16.35
25.5,28.5,2024,6,16.11
25.5,29.5,2024,6,16.32
25.5,30.5,2024,6,16.56
25.5,31.5,2024,6,16.7
25.5,32.5,2024,6,16.5
25.5,33.5,2024,6,16.5
26.5,26.5,2024,6,16.02
26.5,27.5,2024,6,15.86
26.5,28.5,2024,6,15.85
26.5,29.5,2024,6,15.94
26.5,30.5,2024,6,15.93
26.5,31.5,2024,6,16.06
26.5,32.5,2024,6,15.93
26.5,33.5,2024,6,15.99
27.5,26.5,2024,6,14.95
27.5,27.5,2024,6,15.12
27.5,28.5,2024,6,15.06
27.5,29.5,2024,6,14.72
27.5,30.5,2024,6,14.7
27.5,31.5,2024,6,15.68
27.5,32.5,2024,6,15.91
27.5,33.5,2024,6,15.04
28.5,26.5,2024,6,14.37
28.5,27.5,2024,6,14.4
28.5,28.5,2024,6,14.42
28.5,29.5,2024,6,14.53
